gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Avg_Monthly_Spend,Charge_per_Tenure,Service_Count
Male,0,No,No,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,20.2,20.2,1.0
Male,1,No,No,1,1,0.0,DSL,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,45.25,45.25,1.0
Female,0,Yes,Yes,72,1,1.0,Fiber optic,1.0,1.0,0.0,1.0,1.0,0.0,Two year,No,Bank transfer (automatic),99.9,7251.7,No,100.71805555555555,1.3875000000000002,6.0
Male,0,No,No,5,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,63.379999999999995,13.940000000000001,1.0
Female,0,No,No,46,1,0.0,Fiber optic,0.0,0.0,1.0,0.0,0.0,0.0,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,77.13695652173914,1.626086956521739,2.0
Male,0,No,No,34,1,1.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,104.38970588235294,3.1279411764705882,6.0
Female,0,No,No,11,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,100.4909090909091,8.895454545454545,5.0
Male,0,Yes,Yes,10,1,0.0,DSL,0.0,1.0,0.0,0.0,0.0,0.0,One year,No,Mailed check,49.55,475.7,No,47.57,4.955,2.0
Female,0,Yes,Yes,70,1,1.0,DSL,1.0,1.0,0.0,0.0,1.0,0.0,Two year,Yes,Credit card (automatic),69.2,4872.35,No,69.605,0.9885714285714287,5.0
Female,0,Yes,Yes,17,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,No,Mailed check,20.75,418.25,No,24.602941176470587,1.2205882352941178,1.0
Female,0,No,No,63,1,1.0,DSL,1.0,1.0,1.0,1.0,1.0,0.0,Two year,Yes,Credit card (automatic),79.85,4861.45,No,77.16587301587302,1.2674603174603174,7.0
Female,0,Yes,No,13,1,1.0,DSL,1.0,1.0,0.0,1.0,1.0,0.0,Month-to-month,Yes,Electronic check,76.2,981.45,No,75.49615384615385,5.861538461538462,6.0
Female,0,No,No,49,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,1.0,Month-to-month,Yes,Electronic check,84.5,3906.7,No,79.72857142857143,1.7244897959183674,3.0
Male,0,No,No,2,1,0.0,DSL,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,49.25,97.0,No,48.5,24.625,2.0
Female,0,No,No,2,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,0.0,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,72.075,40.325,2.0
Male,0,No,No,52,1,1.0,DSL,1.0,0.0,0.0,1.0,1.0,1.0,Two year,Yes,Credit card (automatic),79.75,4217.8,No,81.11153846153846,1.5336538461538463,6.0
Female,0,Yes,Yes,69,1,1.0,DSL,1.0,0.0,1.0,1.0,0.0,0.0,Two year,Yes,Credit card (automatic),64.15,4254.1,No,61.6536231884058,0.9297101449275363,5.0
Female,1,No,No,43,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,0.0,Month-to-month,Yes,Electronic check,90.25,3838.75,No,89.27325581395348,2.0988372093023258,4.0
Female,0,No,No,15,1,0.0,Fiber optic,1.0,1.0,0.0,0.0,1.0,1.0,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,95.09333333333333,6.6066666666666665,5.0
Female,1,Yes,No,25,1,1.0,DSL,1.0,0.0,0.0,1.0,1.0,0.0,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,70.10600000000001,2.78,5.0
Female,1,Yes,No,8,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,79.1625,10.08125,3.0
Female,1,Yes,Yes,60,1,0.0,DSL,1.0,1.0,1.0,1.0,0.0,1.0,One year,Yes,Credit card (automatic),74.85,4456.35,No,74.27250000000001,1.2474999999999998,6.0
Male,1,No,No,18,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,97.36388888888888,5.302777777777778,4.0
Female,0,Yes,Yes,63,1,1.0,Fiber optic,1.0,0.0,0.0,0.0,1.0,1.0,One year,Yes,Credit card (automatic),99.65,6311.2,No,100.17777777777778,1.581746031746032,5.0
Male,1,Yes,Yes,66,1,1.0,Fiber optic,0.0,1.0,1.0,1.0,1.0,1.0,One year,Yes,Electronic check,108.45,7076.35,No,107.21742424242424,1.6431818181818183,7.0
Female,0,Yes,Yes,34,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Credit card (automatic),24.95,894.3,No,26.302941176470586,0.7338235294117647,2.0
Female,0,No,No,72,1,1.0,Fiber optic,0.0,0.0,1.0,1.0,1.0,1.0,Two year,Yes,Credit card (automatic),107.5,7853.7,No,109.07916666666667,1.4930555555555556,6.0
Female,0,Yes,No,47,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Electronic check,100.5,4707.1,No,100.15106382978725,2.1382978723404253,5.0
Male,0,No,No,60,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,0.0,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,90.845,1.4983333333333335,4.0
Male,0,Yes,No,72,0,0.0,DSL,1.0,1.0,1.0,0.0,0.0,0.0,Two year,No,Bank transfer (automatic),42.1,2962.0,No,41.138888888888886,0.5847222222222223,3.0
Female,0,Yes,Yes,18,1,0.0,DSL,0.0,0.0,1.0,1.0,0.0,0.0,One year,Yes,Credit card (automatic),54.4,957.1,No,53.172222222222224,3.022222222222222,3.0
Female,0,No,No,9,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,No,Electronic check,94.4,857.25,Yes,95.25,10.488888888888889,4.0
Female,0,No,No,3,1,0.0,DSL,0.0,1.0,0.0,1.0,1.0,1.0,Month-to-month,Yes,Electronic check,75.3,244.1,No,81.36666666666666,25.099999999999998,5.0
Male,0,Yes,No,47,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,0.0,0.0,One year,Yes,Electronic check,78.9,3650.35,No,77.66702127659575,1.6787234042553192,3.0
Female,0,No,No,31,1,0.0,DSL,0.0,1.0,1.0,1.0,1.0,1.0,Two year,No,Mailed check,79.2,2497.2,No,80.55483870967741,2.5548387096774197,6.0
Female,0,Yes,Yes,50,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Bank transfer (automatic),20.15,930.9,No,18.618,0.40299999999999997,1.0
Male,0,No,No,10,1,0.0,Fiber optic,1.0,0.0,1.0,0.0,0.0,0.0,Month-to-month,Yes,Mailed check,79.85,887.35,No,88.735,7.984999999999999,3.0
Male,0,No,No,1,1,0.0,DSL,0.0,0.0,0.0,1.0,0.0,0.0,Month-to-month,No,Mailed check,49.05,49.05,No,49.05,49.05,2.0
Female,0,Yes,Yes,52,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,Yes,Electronic check,20.4,1090.65,No,20.974038461538463,0.3923076923076923,1.0
Male,1,Yes,Yes,64,1,1.0,Fiber optic,1.0,0.0,1.0,1.0,1.0,1.0,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,110.921875,1.74375,7.0
Male,0,Yes,Yes,62,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,22.97741935483871,0.3911290322580645,2.0
Female,0,No,Yes,3,1,0.0,DSL,1.0,0.0,0.0,1.0,0.0,1.0,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,59.13333333333333,21.5,4.0
Female,1,No,No,56,1,1.0,Fiber optic,1.0,1.0,1.0,0.0,1.0,1.0,One year,No,Electronic check,110.5,6139.5,No,109.63392857142857,1.9732142857142858,7.0
Female,0,No,No,46,1,0.0,DSL,0.0,0.0,0.0,0.0,0.0,1.0,One year,No,Credit card (automatic),55.65,2688.85,No,58.45326086956521,1.2097826086956522,2.0
Female,0,Yes,Yes,8,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,54.65,482.25,No,60.28125,6.83125,3.0
Male,1,No,No,30,1,0.0,DSL,1.0,1.0,0.0,0.0,1.0,1.0,Month-to-month,Yes,Electronic check,74.75,2111.3,No,70.37666666666668,2.4916666666666667,5.0
Female,0,Yes,Yes,45,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,Yes,Credit card (automatic),25.9,1216.6,No,27.035555555555554,0.5755555555555555,2.0
Female,0,No,Yes,1,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,0.0,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,79.35,79.35,2.0
Female,0,Yes,Yes,11,0,0.0,DSL,1.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,No,Electronic check,50.55,565.35,No,51.39545454545455,4.595454545454545,3.0
Female,0,Yes,No,7,1,0.0,Fiber optic,0.0,0.0,1.0,0.0,0.0,0.0,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,70.98571428571428,10.735714285714286,2.0
Female,0,No,No,42,1,0.0,Fiber optic,0.0,1.0,1.0,1.0,1.0,1.0,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,103.03571428571429,2.4714285714285715,6.0
Female,0,Yes,No,49,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,19.864285714285714,0.41122448979591836,1.0
Male,0,No,No,9,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,1.0,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,102.08333333333333,11.033333333333333,5.0
Female,0,Yes,No,35,1,0.0,DSL,1.0,0.0,0.0,0.0,1.0,0.0,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,63.29857142857142,1.7757142857142856,3.0
Female,0,Yes,Yes,48,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Bank transfer (automatic),20.65,1057.0,No,22.020833333333332,0.4302083333333333,1.0
Female,0,Yes,Yes,46,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,Yes,Mailed check,19.95,927.1,No,20.15434782608696,0.43369565217391304,1.0
Male,0,Yes,No,29,0,0.0,DSL,0.0,0.0,0.0,0.0,1.0,0.0,Month-to-month,No,Mailed check,33.75,1009.25,No,34.80172413793103,1.1637931034482758,1.0
Male,0,Yes,Yes,30,1,0.0,Fiber optic,0.0,1.0,1.0,0.0,0.0,0.0,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,85.67333333333333,2.735,3.0
Male,1,No,No,1,1,0.0,Fiber optic,0.0,0.0,0.0,1.0,0.0,0.0,Month-to-month,No,Electronic check,74.7,74.7,No,74.7,74.7,2.0
Male,0,Yes,Yes,66,1,1.0,DSL,1.0,0.0,1.0,1.0,1.0,1.0,Two year,Yes,Mailed check,84.0,5714.25,No,86.57954545454545,1.2727272727272727,7.0
Female,0,No,No,65,1,1.0,Fiber optic,1.0,1.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,109.33846153846154,1.7084615384615385,7.0
Male,0,No,No,72,1,1.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,1.0,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,103.59791666666666,1.401388888888889,6.0
Female,0,No,No,12,1,1.0,Fiber optic,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,77.27916666666667,6.579166666666667,3.0
Male,0,Yes,Yes,71,1,1.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,One year,Yes,Credit card (automatic),66.85,4748.7,No,66.8830985915493,0.9415492957746479,5.0
Male,0,No,No,5,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,21.05,113.85,Yes,22.77,4.21,1.0
Male,0,No,No,52,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Bank transfer (automatic),21.0,1107.2,No,21.292307692307695,0.40384615384615385,1.0
Female,1,Yes,No,25,1,0.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,100.58,3.94,5.0
Male,0,No,No,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,20.2,20.2,No,20.2,20.2,1.0
Female,0,Yes,Yes,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Electronic check,19.45,19.45,No,19.45,19.45,1.0
Male,0,No,No,38,1,1.0,Fiber optic,0.0,0.0,1.0,1.0,1.0,0.0,One year,No,Bank transfer (automatic),95.0,3605.6,No,94.88421052631578,2.5,5.0
Female,1,Yes,No,66,0,0.0,DSL,0.0,1.0,1.0,0.0,1.0,0.0,One year,No,Bank transfer (automatic),45.55,3027.25,No,45.86742424242424,0.6901515151515151,3.0
Male,0,Yes,No,68,1,1.0,Fiber optic,0.0,1.0,1.0,1.0,1.0,1.0,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,111.93897058823529,1.6176470588235294,7.0
Male,0,No,No,5,0,0.0,DSL,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,24.3,100.2,No,20.04,4.86,0.0
Female,0,Yes,Yes,72,1,1.0,Fiber optic,1.0,1.0,0.0,0.0,1.0,1.0,One year,Yes,Electronic check,104.15,7303.05,No,101.43125,1.4465277777777779,6.0
Female,0,No,No,32,0,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,One year,No,Mailed check,30.15,927.65,No,28.9890625,0.9421875,1.0
Male,0,No,No,43,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,1.0,One year,No,Mailed check,94.35,3921.3,No,91.19302325581396,2.1941860465116276,4.0
Male,0,Yes,Yes,72,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Credit card (automatic),19.4,1363.25,No,18.93402777777778,0.26944444444444443,1.0
Male,0,Yes,No,55,1,1.0,Fiber optic,1.0,1.0,0.0,0.0,1.0,0.0,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,95.25272727272727,1.759090909090909,5.0
Female,0,No,No,52,1,0.0,DSL,1.0,0.0,1.0,1.0,0.0,0.0,One year,No,Credit card (automatic),57.95,3042.25,No,58.50480769230769,1.114423076923077,4.0
Female,0,No,No,43,1,0.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,0.0,Month-to-month,Yes,Electronic check,91.65,3954.1,No,91.95581395348837,2.1313953488372093,4.0
Female,1,Yes,No,37,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,77.51756756756757,2.0675675675675675,2.0
Female,0,Yes,Yes,64,0,0.0,DSL,0.0,1.0,0.0,1.0,1.0,1.0,Two year,Yes,Electronic check,54.6,3423.5,No,53.4921875,0.853125,4.0
Male,0,Yes,Yes,3,1,0.0,Fiber optic,1.0,1.0,0.0,0.0,1.0,0.0,Month-to-month,No,Electronic check,89.85,248.4,No,82.8,29.95,4.0
Female,0,No,No,36,0,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Bank transfer (automatic),31.05,1126.35,No,31.287499999999998,0.8625,1.0
Female,0,Yes,Yes,10,1,1.0,Fiber optic,1.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,106.465,10.025,5.0
Female,0,No,No,41,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Mailed check,20.65,835.15,No,20.36951219512195,0.5036585365853659,1.0
Male,0,Yes,Yes,27,1,1.0,Fiber optic,0.0,1.0,0.0,1.0,0.0,0.0,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,79.68888888888888,3.1555555555555554,4.0
Female,0,Yes,Yes,56,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,One year,Yes,Credit card (automatic),99.8,5515.45,No,98.49017857142857,1.782142857142857,5.0
Female,0,No,No,6,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,20.7,112.75,No,18.791666666666668,3.4499999999999997,1.0
Male,0,No,No,3,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,76.51666666666667,24.8,2.0
Female,0,Yes,Yes,7,1,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,50.7,350.35,No,50.050000000000004,7.242857142857143,2.0
Female,0,Yes,Yes,4,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,20.85,62.9,No,15.725,5.2125,1.0
Male,0,No,No,33,1,0.0,Fiber optic,1.0,0.0,0.0,1.0,1.0,0.0,Two year,Yes,Electronic check,88.95,3027.65,No,91.7469696969697,2.6954545454545453,4.0
Female,1,No,No,27,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,0.0,0.0,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,79.0925925925926,2.890740740740741,3.0
Male,0,Yes,No,72,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,23.94375,0.32708333333333334,2.0
Male,0,No,No,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,19.75,19.75,No,19.75,19.75,1.0
Male,1,No,No,71,0,0.0,DSL,1.0,1.0,0.0,0.0,1.0,1.0,One year,Yes,Electronic check,56.45,3985.35,No,56.131690140845066,0.7950704225352113,4.0
Female,0,No,No,13,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,1.0,Month-to-month,Yes,Electronic check,85.95,1215.65,No,93.51153846153846,6.611538461538462,3.0
Female,0,Yes,Yes,25,0,0.0,DSL,1.0,1.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,60.106,2.344,5.0
Male,0,No,No,67,1,0.0,DSL,0.0,0.0,0.0,1.0,0.0,0.0,Two year,No,Bank transfer (automatic),50.55,3260.1,No,48.65820895522388,0.7544776119402985,2.0
Male,0,No,No,1,0,0.0,DSL,0.0,0.0,0.0,0.0,0.0,1.0,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,35.45,35.45,1.0
Male,0,No,No,2,1,0.0,DSL,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Electronic check,44.35,81.25,Yes,40.625,22.175,1.0
Female,0,No,No,43,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,Yes,Credit card (automatic),25.7,1188.2,No,27.632558139534886,0.5976744186046511,2.0
Female,0,No,No,23,1,0.0,Fiber optic,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No,77.32608695652173,3.260869565217391,2.0
Female,0,Yes,Yes,64,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Mailed check,20.2,1277.75,No,19.96484375,0.315625,1.0
Male,0,No,Yes,57,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,Yes,Mailed check,19.6,1170.55,No,20.5359649122807,0.34385964912280703,1.0
Female,1,Yes,No,1,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,70.45,70.45,1.0
Female,1,Yes,Yes,72,1,1.0,DSL,1.0,1.0,1.0,1.0,1.0,1.0,Two year,Yes,Credit card (automatic),88.05,6425.65,No,89.24513888888889,1.2229166666666667,8.0
Female,0,No,No,8,1,1.0,DSL,1.0,0.0,0.0,1.0,0.0,1.0,Month-to-month,No,Electronic check,71.15,563.65,Yes,70.45625,8.89375,5.0
Female,0,Yes,No,61,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,1.0,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No,97.88934426229508,1.6565573770491804,5.0
Male,0,No,No,64,1,1.0,Fiber optic,1.0,1.0,0.0,0.0,0.0,0.0,One year,Yes,Credit card (automatic),84.3,5289.05,No,82.64140625,1.3171875,4.0
Male,1,Yes,No,71,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Bank transfer (automatic),23.95,1756.2,No,24.735211267605635,0.3373239436619718,2.0
Female,0,Yes,Yes,65,1,1.0,Fiber optic,1.0,1.0,0.0,1.0,1.0,0.0,Two year,Yes,Credit card (automatic),99.05,6416.7,No,98.71846153846154,1.5238461538461539,6.0
